mean_elevation,longitude,latitude
0.0,-8.75,-90.0
0.0,-8.125,-90.0
0.0,-7.5,-90.0
0.0,-6.875,-90.0
0.0,-6.25,-90.0
0.0,-5.625,-90.0
0.0,-5.0,-90.0
0.0,-4.375,-90.0
0.0,-3.75,-90.0
0.0,-3.125,-90.0
0.0,-2.5,-90.0
0.0,-1.875,-90.0
0.0,-1.25,-90.0
0.0,-0.625,-90.0
0.0,0.0,-90.0
0.0,0.625,-90.0
0.0,1.25,-90.0
0.0,1.875,-90.0
0.0,2.5,-90.0
0.0,3.125,-90.0
0.0,3.75,-90.0
0.0,4.375,-90.0
0.0,5.0,-90.0
0.0,5.625,-90.0
0.0,6.25,-90.0
0.0,6.875,-90.0
0.0,7.5,-90.0
0.0,8.125,-90.0
0.0,8.75,-90.0
0.0,9.375,-90.0
0.0,10.0,-90.0
0.0,10.625,-90.0
0.0,11.25,-90.0
0.0,11.875,-90.0
0.0,12.5,-90.0
0.0,13.125,-90.0
0.0,13.75,-90.0
0.0,14.375,-90.0
0.0,15.0,-90.0
0.0,15.625,-90.0
0.0,16.25,-90.0
0.0,16.875,-90.0
0.0,17.5,-90.0
0.0,18.125,-90.0
0.0,18.75,-90.0
0.0,19.375,-90.0
0.0,20.0,-90.0
0.0,20.625,-90.0
0.0,21.25,-90.0
0.0,21.875,-90.0
0.0,22.5,-90.0
0.0,23.125,-90.0
0.0,23.75,-90.0
0.0,24.375,-90.0
0.0,25.0,-90.0
0.0,25.625,-90.0
0.0,26.25,-90.0
0.0,26.875,-90.0
0.0,27.5,-90.0
0.0,28.125,-90.0
0.0,28.75,-90.0
0.0,29.375,-90.0
0.0,30.0,-90.0
0.0,30.625,-90.0
0.0,31.25,-90.0
0.0,31.875,-90.0
0.0,32.5,-90.0
0.0,33.125,-90.0
0.0,33.75,-90.0
0.0,34.375,-90.0
0.0,35.0,-90.0
0.0,35.625,-90.0
0.0,36.25,-90.0
0.0,36.875,-90.0
0.0,37.5,-90.0
0.0,38.125,-90.0
0.0,38.75,-90.0
0.0,39.375,-90.0
0.0,40.0,-90.0
0.0,40.625,-90.0
0.0,41.25,-90.0
0.0,41.875,-90.0
0.0,42.5,-90.0
0.0,43.125,-90.0
